R_10_MEG-MAC,R_2_MAC-MES,R_0.5_MES-MIC,R_0_1_MIC-NAN
12.5792966,0.791912081,0.073149208,0.004605006
28.27321871,1.779901069,0.164410112,0.010350209
45.40645714,2.858500209,0.264040708,0.016622315
63.54686761,4.000504461,0.369528058,0.023263124
82.47500335,5.192098859,0.479596068,0.030192302
102.055523,6.424763174,0.593457721,0.037360304
122.1957579,7.692663585,0.710574145,0.044733205
142.8278975,8.991531174,0.830551019,0.052286182
163.8999711,10.31809419,0.953086129,0.060000209
185.3707628,11.66975795,1.077939804,0.067860198
207.2067145,13.04440985,1.204916902,0.075853864
229.3799257,14.44029345,1.33385518,0.083970993
251.8668015,15.85592337,1.464617433,0.092202949
274.6471043,17.29002557,1.597085977,0.100542321
297.7032677,18.7414942,1.731158664,0.10898268
321.0198877,20.2093595,1.866745919,0.117518387
344.583337,21.6927636,2.003768497,0.126144452
368.3814664,23.19094166,2.142155752,0.134856429
392.403371,24.70320718,2.28184427,0.143650325
416.6392036,26.22894023,2.42277679,0.152522535
441.0800235,27.76757798,2.56490132,0.161469787
465.7176741,29.31860693,2.708170431,0.170489094
490.5446813,30.88155655,2.852540659,0.17957772
515.5541689,32.45599398,2.997972019,0.188733149
540.7397878,34.04151951,3.144427591,0.197953055
566.0956561,35.63776285,3.291873171,0.207235286
591.6163079,37.2443799,3.440276975,0.216577841
617.2966495,38.86105001,3.589609384,0.225978855
643.1319218,40.48747356,3.739842721,0.235436585
669.117667,42.12336992,3.890951066,0.2449494
695.2497008,43.76847568,4.042910086,0.254515768
721.5240867,45.42254302,4.195696889,0.264134249
747.9371143,47.08533834,4.349289901,0.273803482
774.4852796,48.75664108,4.503668746,0.283522187
801.1652682,50.43624257,4.658814149,0.29328915
827.9739395,52.1239451,4.814707847,0.30310322
854.9083131,53.81956104,4.971332511,0.312963308
881.9655565,55.52291208,5.128671669,0.322868375
909.1429743,57.23382853,5.286709646,0.332817436
936.4379977,58.95214867,5.445431506,0.342809549